Region;TKO-40;WT-40;WT-50;TKO-50;ID
ACAd;4;13;22;33;1
ACAv;4;13;21;34;2
ILA;4;14;20;32;3
PL;4;13;20;32;4
AUDd;4;10;15;33;5
AUDp;4;10;15;33;6
AUDpo;4;10;15;33;7
AUDv;4;13;22;33;8
MOp;4;13;22;33;9
MOs;4;13;22;33;10
RSPagl;4;7;16;33;11
RSPd;4;7;16;33;12
RSPv;4;8;16;33;13
SSp-bf;4;10;16;33;14
SSp-n;2;10;15;25;15
SSp-tr;5;13;22;34;16
SSp-ll;5;13;22;34;17
SSp-ul;4;13;15;33;18
SSp-un;4;13;15;33;19
SSs;4;13;22;33;20
TEa;4;13;22;33;21
VISC;4;13;23;33;22
AI;4;13;23;33;23
VISli;4;13;22;33;24
VISa;4;13;15;33;25
VISal;4;7;16;33;26
VISam;4;7;15;33;27
VISl;4;13;16;33;28
VISp(pl);4;7;16;33;29
VISp(al);4;7;16;33;30
VISp(am);4;7;16;33;31
VISp(pm);4;7;16;33;32
VISpm;4;7;16;33;33
VISrl;4;7;16;33;34
VISpl;4;13;22;33;35
VISpor;4;13;22;33;36
COAa ;2;10;24;28;37
COApl ;2;10;18;28;38
COApm ;2;10;18;28;39
PIR;2;10;24;29;40
TR;2;13;24;28;41
PA;2;10;18;28;42
LA;2;10;15;29;43
BLAa;2;10;23;29;44
BLAp;2;10;23;28;45
BLAv;2;10;24;28;46
BMAa;2;10;24;28;47
BMAp;2;10;18;28;48
EPd;2;10;18;29;49
EPv;2;10;24;28;50
CLA;4;13;23;33;51
APr;4;13;21;32;52
HATA;2;10;18;28;53
CA1d;4;13;22;34;54
CA1i;2;7;22;29;55
CA1v;2;10;18;29;56
CA2d;4;7;22;34;57
CA2i;2;10;18;29;58
CA2v;2;10;18;29;59
CA3d;4;7;22;34;60
CA3i;2;10;24;29;61
CA3v;2;10;24;29;62
DGd;4;13;23;34;63
DGi;5;14;24;35;64
DGv;6;14;24;35;65
IG;3;14;24;35;66
ENTl;2;10;18;28;67
ENTm;2;10;18;29;68
PAR;5;14;24;35;69
POST;5;13;21;32;70
PRE;5;14;24;35;71
ProS;4;13;21;34;72
SUB;4;13;21;34;73
MEA;2;10;24;29;74
IA;2;10;24;28;75
AAA;2;10;24;29;76
CEAc;2;10;24;29;77
CEAl;2;10;24;29;78
CEAm;2;10;24;29;79
CPcdl;4;7;22;34;80
CPcdm;4;10;16;33;81
CPcml;4;7;22;33;82
CPcmm;4;13;23;33;83
CPcv;2;10;23;29;84
CPmdc;4;10;15;29;85
CPmdl;4;13;22;29;86
CPmdm;2;7;16;29;87
CPmmc;2;10;18;29;88
CPmml;2;10;22;29;89
CPmvc;2;10;24;29;90
CPmvl;2;10;24;29;91
LS;4;10;23;34;92
SF;2;10;18;29;93
GPe;2;13;23;29;94
GPi;4;13;23;34;95
SI;2;10;18;29;96
TRS;2;10;18;29;97
AD;4;7;15;34;98
AM;4;14;23;34;99
AV;4;7;15;34;100
IAD;4;14;23;34;101
IAM;5;12;20;32;102
LD;4;7;15;34;103
EPI;3;10;19;27;104
IGL;2;10;18;29;105
LGv;2;10;18;29;106
IntG;2;10;18;29;107
SubG;2;10;18;34;108
CL;4;14;23;34;109
CM;5;12;20;32;110
PCN;5;12;20;32;111
RH;5;12;20;32;112
PF;4;13;23;34;113
PIL;2;10;23;29;114
Eth;4;10;18;34;115
PO;4;14;23;32;116
LP;4;10;15;29;117
SGN;2;10;15;25;118
POL;2;10;18;25;119
IMD;5;12;20;32;120
MD;4;12;21;32;121
PR;4;14;21;34;122
SMT;4;12;20;32;123
RE;4;14;21;34;124
PT;4;13;19;34;125
PVT;4;14;23;34;126
Xi;4;14;21;34;127
RT;4;13;23;34;128
LGd;4;10;15;29;129
MG;2;10;18;29;130
PP;2;10;23;29;131
SPA;4;14;20;32;132
SPF;2;13;23;34;133
PoT;2;10;18;29;134
VAL;5;12;20;32;135
VM;5;12;20;32;136
VP;5;14;21;32;137
LZ;4;13;24;34;138
MEZ;3;13;24;30;139
PVR;3;10;22;30;140
PVZ;3;13;24;30;141
CLI;3;11;19;31;142
DR;3;11;19;31;143
IF;3;13;21;31;144
RL;3;11;24;31;145
PPN;3;11;23;31;146
SNc;2;10;19;29;147
AT;3;11;19;31;148
CUN;3;11;23;31;149
DT;0;11;22;25;150
EW;3;11;24;31;151
LT;2;10;23;29;152
MT;3;10;24;31;153
MRN;3;11;23;31;154
RR;3;11;23;31;155
III;3;11;19;31;156
PN;3;13;21;31;157
Pa4;3;11;19;31;158
PAG;3;11;19;31;159
PRT;2;10;15;25;160
RN;3;11;23;31;161
SNr;2;10;19;29;162
SCd(a);0;7;15;25;163
SCd(p);0;7;15;25;164
SCi(al);0;7;15;25;165
SCi(pl);0;7;15;25;166
SCs(al);0;7;15;25;167
SCs(pl);4;8;16;33;168
SCi(am);0;7;16;26;169
SCs(am);0;8;16;26;170
SCs(pm);0;8;16;26;171
VTA;3;10;24;31;172
VTN;3;11;19;31;173
ICc;2;10;15;29;174
ICd;2;7;16;25;175
ICe;2;10;15;33;176
MEV;3;10;17;27;177
NB;0;11;22;33;178
SAG;4;11;23;33;179
PBG;4;11;23;33;180
SCO;1;9;17;27;181
GRN ;2;11;17;28;182
IRN;2;11;17;28;183
CN;2;10;18;28;184
VNC;3;10;17;27;185
NTB ;1;11;17;28;186
NTS;2;10;18;29;187
SPVO;2;10;18;28;188
VI;3;10;17;27;189
PARN;2;10;17;28;190
x  ;2;10;18;29;191
y ;2;10;18;27;192
PHY;3;10;18;25;193
NRaphe;1;11;17;28;194
ACVII;2;11;17;28;195
LDT;3;10;17;27;196
LC;3;10;17;27;197
NI;3;10;17;27;198
RPO;3;10;17;31;199
B;3;10;17;27;200
DTN;3;10;17;27;201
I5;2;10;18;27;202
P5;3;11;19;31;203
V;3;11;19;31;204
PB;3;10;17;27;205
NLL;3;11;19;31;206
PCG;3;10;17;27;207
PG;3;11;17;28;208
SG;3;10;17;27;209
SUT;3;11;19;31;210
TRN ;3;11;17;28;211
SOC;2;11;18;28;212
PSV;2;10;18;27;213
PRNc;2;11;17;28;214
PRNr;3;11;19;31;215
SLC;3;10;17;27;216
ANcr1;2;10;18;29;217
ANcr2;2;10;18;29;218
COPY;6;10;24;35;219
PFL;2;10;18;28;220
PRM;2;10;18;29;221
SIM;2;14;24;34;222
CENT2;3;10;17;27;223
CENT3;2;10;17;27;224
CUL4;2;10;18;29;225
LING;3;10;17;27;226
DN;6;10;24;35;227
IP;2;10;18;27;228
BST;2;10;18;29;229
